525.654, 469.012
523.85, 463.194
521.952, 457.402
519.764, 451.704
517.566, 446.009
515.604, 440.24
513.828, 434.414
512.051, 428.587
509.878, 422.897
507.363, 417.323
504.848, 411.75
502.397, 406.152
500.199, 400.457
498, 394.762
495.731, 389.093
493.391, 383.451
491.045, 377.81
488.665, 372.188
491.817, 370.986
497.771, 372.7
503.794, 374.167
509.816, 375.634
515.956, 376.203
522.13, 376.513
528.304, 376.823
534.478, 377.132
540.653, 377.442
546.827, 377.752
552.997, 377.82
559.164, 377.596
565.331, 377.372
571.497, 377.148
577.66, 376.883
583.772, 376.133
589.884, 375.382
595.996, 374.632
602.109, 373.889
608.227, 373.183
614.346, 372.476
620.469, 371.811
626.602, 371.209
632.767, 371.068
634.713, 369.248
633.484, 363.333
632.73, 357.319
630.532, 351.624
628.334, 345.929
626.292, 340.183
624.353, 334.403
622.414, 328.623
620.475, 322.843
618.531, 317.065
616.567, 311.293
614.602, 305.521
612.65, 299.745
610.711, 293.966
608.905, 288.151
607.44, 282.248
605.695, 276.415
604.17, 270.53
601.791, 264.97
601.288, 258.968
